EmployeeID,LastName,FirstName,BirthDate,Photo,Notes
1,Davolio,Nancy,08-12-1968,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of Toastmasters International.
2,Fuller,Andrew,19-02-1952,EmpID2.pic,Andrew received his BTS commercial and a Ph.D. in international marketing from the University of Dallas.
3,Leverling,Janet,30-08-1963,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management..
4,Peacock,Margaret,19-09-1958,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts.
5,Buchanan,Steven,04-03-1955,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative."
6,Suyama,Michael,02-07-1963,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). "
7,King,Robert,29-05-1960,EmpID7.pic,Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. 
8,Callahan,Laura,09-01-1958,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.
9,Dodsworth,Anne,02-07-1969,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.
10,West,Adam,19-09-1928,EmpID10.pic,An old chum.
